Year ,Population ,Property,Murder ,Rape ,Robbery ,AggrevatedAssault ,Burglary ,LarcenyTheft ,VehicleTheft
1960,179323175,3095700,9110,17190,107840,154320,912100,1855400,328200
1961,182992000,3198600,8740,17220,106670,156760,949600,1913000,336000
1962,185771000,3450700,8530,17550,110860,164570,994300,2089600,366800
1963,188483000,3792500,8640,17650,116470,174210,1086400,2297800,408300
1964,191141000,4200400,9360,21420,130390,203050,1213200,2514400,472800
1965,193526000,4352000,9960,23410,138690,215330,1282500,2572600,496900
1966,195576000,4793300,11040,25820,157990,235330,1410100,2822000,561200
1967,197457000,5403500,12240,27620,202910,257160,1632100,3111600,659800
1968,199399000,6125200,13800,31670,262840,286700,1858900,3482700,783600
1969,201385000,6749000,14760,37170,298850,311090,1981900,3888600,878500
1970,203235298,7359200,16000,37990,349860,334970,2205000,4225800,928400
1971,206212000,7771700,17780,42260,387700,368760,2399300,4424200,948200
1972,208230000,7413900,18670,46850,376290,393090,2375500,4151200,887200
1973,209851000,7842200,19640,51400,384220,420650,2565500,4347900,928800
1974,211392000,9278700,20710,55400,442400,456210,3039200,5262500,977100
1975,213124000,10252700,20510,56090,470500,492620,3265300,5977700,1009600
1976,214659000,10345500,18780,57080,427810,500530,3108700,6270800,966000
1977,216332000,9955000,19120,63500,412610,534350,3071500,5905700,977700
1978,218059000,10123400,19560,67610,426930,571460,3128300,5991000,1004100
1979,220099000,11041500,21460,76390,480700,629480,3327700,6601000,1112800
1980,225349264,12063700,23040,82990,565840,672650,3795200,7136900,1131700
1981,229146000,12061900,22520,82500,592910,663900,3779700,7194400,1087800
1982,231534000,11652000,21010,78770,553130,669480,3447100,7142500,1062400
1983,233981000,10850500,19310,78920,506570,653290,3129900,6712800,1007900
1984,236158000,10608500,18690,84230,485010,685350,2984400,6591900,1032200
1985,238740000,11102600,18980,88670,497870,723250,3073300,6926400,1102900
1986,240132887,11722700,20613,91459,542775,834322,3241410,7257153,1224137
1987,242282918,12024700,20096,91110,517704,855088,3236184,7499900,1288674
1988,245807000,12356900,20680,92490,542970,910090,3218100,7705900,1432900
1989,248239000,12605400,21500,94500,578330,951710,3168200,7872400,1564800
1990,248709873,12655500,23440,102560,639270,1054860,3073900,7945700,1635900
1991,252177000,12961100,24700,106590,687730,1092740,3157200,8142200,1661700
1992,255082000,12505900,23760,109060,672480,1126970,2979900,7915200,1610800
1993,257908000,12218800,24530,106010,659870,1135610,2834800,7820900,1563100
1994,260341000,12131900,23330,102220,618950,1113180,2712800,7879800,1539300
1995,262755000,12063900,21610,97470,580510,1099210,2593800,7997700,1472400
1996,265228572,11805300,19650,96250,535590,1037050,2506400,7904700,1394200
1997,267637000,11558175,18208,96153,498534,1023201,2460526,7743760,1354189
1998,270296000,10944590,16914,93103,446625,974402,2329950,7373886,1240754
1999,272690813,10208334,15522,89411,409371,911740,2100739,6955520,1152075
2000,281421906,10182586,15586,90178,408016,911706,2050992,6971590,1160002
2001,285317559,10437480,16037,90863,423557,909023,2116531,7092267,1228391
2002,287973924,10455277,16229,95235,420806,891407,2151252,7057370,1246646
2003,290690788,10442862,16528,93883,414235,859030,2154834,7026802,1261226
2004,293656842,10319386,16148,95089,401470,847381,2144446,6937089,1237851
2005,296507061,10174754,16740,94347,417438,862220,2155448,6783447,1235859
2006,299398484,9983568,17030,92757,447403,860853,2183746,6607013,1192809
2007,301621157,9843481,16929,90427,445125,855856,2176140,6568572,1095769
2008,304374846,9767915,16442,90479,443574,842134,2228474,6588046,958629
2009,307006550,9337060,15399,89241,408742,812514,2203313,6338095,795652
2010,309330219,9112625,14772,85593,369089,781844,2168457,6204601,739565
2011,311587816,9052743,14661,84175,354772,752423,2185140,6151095,716508
2012,313873685,9001992,14866,85141,355051,762009,2109932,6168874,723186
2013,316497531,8650761,14319,82109,345095,726575,1931835,6018632,700294
2014,318907401,8209010,14164,84864,322905,731089,1713153,5809054,686803
2015,320896618,8024115,15883,91261,328109,764057,1587564,5723488,713063
2016,323127513,7919035,17250,95730,332198,803007,1515096,5638455,765484
